Name,Latitude,Longitude,State,Country,Operational Status
Volk ANGB,43.9362601246,-90.2543423584,Wisconsin,United States,Active
Duluth IAP,46.8449538206,-92.172128284,Minnesota,United States,Active
Toledo/Exp Airport,41.5865259257,-83.7919651408,Ohio,United States,Active
NG Camp Niantic,41.3313986668,-72.1879440898,Connecticut,United States,Active
NG Pelham Range Training Site - Fort McClellan,33.7179613001,-85.9502653692,Alabama,United States,Active
NG MTC-H Camp Roberts,35.781595342,-120.780040594,California,United States,Active
NG St Cloud NG Armory,45.5648760428,-94.1774187425,Minnesota,United States,Active
NG Baton Rouge AFRC,30.3578247818,-91.1408358591,Louisiana,United States,Active
NG Camp Grafton,47.7711996949,-98.7161638156,North Dakota,United States,Active
NG Spring City Readiness Center,40.1899589793,-75.5558107769,Pennsylvania,United States,Active
NG MTA Gunpowder Military Reservation,39.4323773898,-76.5050135446,Maryland,United States,Active
NG Sioux Falls Benson Rd Complex,43.5892992575,-96.6754244833,South Dakota,United States,Active
Pearl City,21.3813432543,-157.974037315,Hawaii,United States,Active
Marbo,13.4890012867,144.86534429,Guam,Guam,Active
Edwards AFB,34.8902967213,-117.848771224,California,United States,Active
Naval Observatory,38.9214186847,-77.0670325804,District of Columbia,United States,Active
Umatilla Chemical Depot,45.8426458207,-119.437655677,Oregon,United States,Active
Defense Supply Center Columbus,39.9796100871,-82.8985258467,Ohio,United States,Active
US Army Garrison Selfridge,42.6609659498,-82.8128744872,Michigan,United States,Active
Fort Wingate Depot Activity,35.4623986207,-108.598242168,New Mexico,United States,Inactive
Pupukea Paalaa Uka Mil Road,19.9692428627,-155.719658833,Hawaii,United States,Active
MCRD Beaufort,32.337579472,-80.69617786,South Carolina,United States,Active
Marine Corps Museum,38.5203611824,-77.3647271918,Virginia,United States,Active
Det Phil Pny Annex,39.8917550243,-75.1787438843,Pennsylvania,United States,Active
Naval Station Newport RI,41.535278318,-71.3096354954,Rhode Island,United States,Active
Sasa Valley,13.4489097645,144.699606632,Guam,Guam,Active
Utah Test and Training Range South UT,40.4970086744,-113.563257825,Utah,United States,Active
Hill AFB,41.128082376,-111.991247141,Utah,United States,Active
Youngstown,41.2673838021,-80.6786812118,Ohio,United States,Active
Travis AFB,38.2645314897,-121.942797537,California,United States,Active
The Farish Memorial Recreational Annex,38.9991596818,-104.999644284,Colorado,United States,Active
Grissom ARB,40.6539758948,-86.1518428016,Indiana,United States,Active
Pillar Point AFS,37.4989475163,-122.498033406,California,United States,Active
Maxwell AFB,32.3830076533,-86.356311322,Alabama,United States,Active
Eielson AFB,64.6741086836,-147.060214201,Alaska,United States,Active
Francis S Gabreski Airport,40.8369889702,-72.6434132546,New York,United States,Active
